,CDI_Diario,IPCA_Mensal,IMAB_ret
2020-02-29,0.016295666666666667,0.25,0.008985335647894166
2020-03-31,0.015355636363636361,0.07,-0.0701154898996722
2020-04-30,0.014227,-0.31,-0.014528279603597039
2020-05-31,0.0117773,-0.38,0.015321483122332724
2020-06-30,0.010100857142857142,0.26,0.03597710572954549
2020-07-31,0.008442,0.36,0.03811801350214461
2020-08-31,0.007607999999999999,0.24,0.01295330018760299
2020-09-30,0.007468999999999999,0.64,-0.01209550755436728
2020-10-31,0.007468999999999999,0.86,-0.004950200538829219
2020-11-30,0.007469000000000001,0.89,0.005275259359451834
2020-12-31,0.007469000000000001,1.35,0.02865693258262647
2021-01-31,0.007469000000000001,0.25,0.01631348817493894
2021-02-28,0.007469,0.86,0.0018422966380979844
2021-03-31,0.008734217391304347,0.93,-0.019051528695032127
2021-04-30,0.010379,0.31,0.003200301260860794
2021-05-31,0.012856142857142856,0.83,0.008200015227718183
2021-06-30,0.014634714285714284,0.53,0.001770360614806954
2021-07-31,0.016137,0.96,0.0033813025907643013
2021-08-31,0.019412772727272726,0.87,-0.015769842205768603
2021-09-30,0.021003428571428572,1.16,0.0018616370882689193
2021-10-31,0.0242439,1.25,-0.010684295864244353
2021-11-30,0.029255999999999997,0.95,-0.002047392024890793
2021-12-31,0.03317957142857143,0.73,0.021509168339926
2022-01-31,0.034749,0.54,-0.015219396564069565
2022-02-28,0.03959757894736843,1.01,0.006266455927889991
2022-03-31,0.041953500000000005,1.62,0.010585919597145388
2022-04-30,0.043739,1.06,0.026383752137541183
2022-05-31,0.04679627272727272,0.47,0.007249553686360599
2022-06-30,0.048116142857142864,0.67,0.0033927999692939803
2022-07-31,0.049037,-0.68,-0.015667790719644414
2022-08-31,0.050559608695652174,-0.36,0.013156760666687806
2022-09-30,0.050788,-0.29,0.0022743964529288174
2022-10-31,0.050788,0.59,0.008486418285680086
2022-11-30,0.050788,0.41,-0.008168911840987336
2022-12-31,0.050788,0.62,-0.0001912716784343571
2023-01-31,0.05078799999999999,0.53,0.01318668483986385
2023-02-28,0.050788,0.84,0.011017508302501033
2023-03-31,0.050788,0.71,0.018556795073660926
2023-04-30,0.050788,0.61,0.025803779395022097
2023-05-31,0.05078799999999999,0.23,0.02119475188516029
2023-06-30,0.050788,-0.08,0.02179840391050858
2023-07-31,0.050788,0.12,0.015124214478500653
2023-08-31,0.04918926086956521,0.23,0.013500204382620895
2023-09-30,0.0484217,0.26,-0.013560603701416762
2023-10-31,0.047279,0.24,-0.011644364656306028
2023-11-30,0.0456013,0.28,0.013593355775838756
2023-12-31,0.04457931578947368,0.56,0.023782436265709972
2024-01-31,0.043739,0.42,0.009407332342678654
2024-02-29,0.041957,0.83,0.003045376015947454
2024-03-31,0.0414203,0.16,0.00215983634607686
2024-04-30,0.040168,0.37999999999999995,-0.0058749057504861035
2024-05-31,0.039483809523809525,0.46,0.0007680470777877701
2024-06-30,0.03927,0.21000000000000002,-0.001073598459424785
2024-07-31,0.03927,0.38,0.007057721489496238
2024-08-31,0.03927,-0.02,0.022280664981400466
2024-09-30,0.03961209523809524,0.44,-0.00975182233991978
2024-10-31,0.040168,0.56,-0.008543499365390006
2024-11-30,0.04158036842105264,0.39,0.0018490805827720003
2024-12-31,0.04401573684210527,0.52,-0.01626231915103382
2025-01-31,0.04583336363636364,0.16,-0.012621189238090746
2025-02-28,0.049037,1.31,0.014337962027300089
2025-03-31,0.05050815789473684,0.56,0.010227992660214902
2025-04-30,0.05253100000000001,0.43,0.012228492642466948
2025-05-31,0.05393552380952381,0.26,0.02489246967147607
2025-06-30,0.05456875,0.24,0.0055383117880294375
2025-07-31,0.055131,0.26,0.003988569355968918
2025-08-31,0.055131,-0.11,0.005464549832767895
2025-09-30,0.055131,0.4799999999999999,0.004092293027108118
2025-10-31,0.055131,0.09,0.003962227889361181
2025-11-30,0.05513099999999999,0.18,0.019983895547846853
2025-12-31,0.055131,0.33,0.008218303515534542
2026-01-31,0.055131,0.33,0.002843594140688799
2026-02-28,0.055131,0.7,0.015091176489180347
2026-03-31,0.054801476190476185,0.7,0.00699606495844618
